x,series,value
0.47,f(x),0.467914
0.47,g(x),0.9964
0.47,f(x)-g(x),-0.528486
0.472,f(x),0.470175
0.472,g(x),0.996864
0.472,f(x)-g(x),-0.526689
0.474,f(x),0.47242
0.474,g(x),0.997296
0.474,f(x)-g(x),-0.524876
0.476,f(x),0.474648
0.476,g(x),0.997696
0.476,f(x)-g(x),-0.523048
0.478,f(x),0.476859
0.478,g(x),0.998064
0.478,f(x)-g(x),-0.521205
0.48,f(x),0.479053
0.48,g(x),0.9984
0.48,f(x)-g(x),-0.519347
0.482,f(x),0.48123
0.482,g(x),0.998704
0.482,f(x)-g(x),-0.517474
0.484,f(x),0.483389
0.484,g(x),0.998976
0.484,f(x)-g(x),-0.515587
0.486,f(x),0.48553
0.486,g(x),0.999216
0.486,f(x)-g(x),-0.513686
0.488,f(x),0.487653
0.488,g(x),0.999424
0.488,f(x)-g(x),-0.511771
0.49,f(x),0.489758
0.49,g(x),0.9996
0.49,f(x)-g(x),-0.509842
0.492,f(x),0.491845
0.492,g(x),0.999744
0.492,f(x)-g(x),-0.507899
0.494,f(x),0.493912
0.494,g(x),0.999856
0.494,f(x)-g(x),-0.505944
0.496,f(x),0.495961
0.496,g(x),0.999936
0.496,f(x)-g(x),-0.503975
0.498,f(x),0.49799
0.498,g(x),0.999984
0.498,f(x)-g(x),-0.501994
0.5,f(x),0.5
0.5,g(x),1
0.5,f(x)-g(x),-0.5
0.502,f(x),0.50199
0.502,g(x),0.999984
0.502,f(x)-g(x),-0.497994
0.504,f(x),0.50396
0.504,g(x),0.999936
0.504,f(x)-g(x),-0.495976
0.506,f(x),0.50591
0.506,g(x),0.999856
0.506,f(x)-g(x),-0.493946
0.508,f(x),0.50784
0.508,g(x),0.999744
0.508,f(x)-g(x),-0.491904
0.51,f(x),0.509748
0.51,g(x),0.9996
0.51,f(x)-g(x),-0.489852
0.512,f(x),0.511636
0.512,g(x),0.999424
0.512,f(x)-g(x),-0.487788
0.514,f(x),0.513503
0.514,g(x),0.999216
0.514,f(x)-g(x),-0.485713
0.516,f(x),0.515348
0.516,g(x),0.998976
0.516,f(x)-g(x),-0.483628
0.518,f(x),0.517172
0.518,g(x),0.998704
0.518,f(x)-g(x),-0.481532
0.52,f(x),0.518974
0.52,g(x),0.9984
0.52,f(x)-g(x),-0.479426
0.522,f(x),0.520754
0.522,g(x),0.998064
0.522,f(x)-g(x),-0.47731
0.524,f(x),0.522511
0.524,g(x),0.997696
0.524,f(x)-g(x),-0.475185
0.526,f(x),0.524246
0.526,g(x),0.997296
0.526,f(x)-g(x),-0.47305
0.528,f(x),0.525959
0.528,g(x),0.996864
0.528,f(x)-g(x),-0.470905
0.53,f(x),0.527648
0.53,g(x),0.9964
0.53,f(x)-g(x),-0.468752
0.532,f(x),0.529314
